"Step","model.output_scaling: 0.75 - train/loss","model.output_scaling: 0.75 - train/loss__MIN","model.output_scaling: 0.75 - train/loss__MAX","model.output_scaling: 1.5 - train/loss","model.output_scaling: 1.5 - train/loss__MIN","model.output_scaling: 1.5 - train/loss__MAX","model.output_scaling: 1.25 - train/loss","model.output_scaling: 1.25 - train/loss__MIN","model.output_scaling: 1.25 - train/loss__MAX","model.output_scaling: 1 - train/loss","model.output_scaling: 1 - train/loss__MIN","model.output_scaling: 1 - train/loss__MAX","model.output_scaling: 0.5 - train/loss","model.output_scaling: 0.5 - train/loss__MIN","model.output_scaling: 0.5 - train/loss__MAX"
"78","3.9654995441436767","3.9410624504089355","3.9902431964874268","3.7967291831970216","3.7713897228240967","3.8246092796325684","3.837604284286499","3.8128092288970947","3.8639185428619385","3.8915639877319337","3.866178274154663","3.917656421661377","4.07076940536499","4.045620441436768","4.091934680938721"
"79","3.9471210479736327","3.9225659370422363","3.9724998474121094","3.7747995853424072","3.7486586570739746","3.80192494392395","3.817543601989746","3.792224168777466","3.8440451622009277","3.8717817306518554","3.846966505050659","3.8977549076080322","4.0552112579345705","4.029943466186523","4.07707405090332"
"80","3.9282042026519775","3.9034104347229004","3.9541213512420654","3.7528234481811524","3.7266104221343994","3.780755043029785","3.7961299896240233","3.7711281776428223","3.822092294692993","3.8513545036315917","3.8254446983337402","3.877103090286255","4.0391942977905275","4.013837814331055","4.061746120452881"
"81","3.9086825847625732","3.8835673332214355","3.935075283050537","3.7301966667175295","3.7031784057617188","3.7588672637939453","3.773947238922119","3.7481906414031982","3.7999987602233887","3.830528974533081","3.804994583129883","3.855823040008545","4.022697973251343","3.9972712993621826","4.045914173126221"
"82","3.8884366512298585","3.8630385398864746","3.9153125286102295","3.706116819381714","3.678386688232422","3.7345287799835205","3.7518006801605224","3.7255406379699707","3.7785093784332275","3.809216260910034","3.784219741821289","3.8342926502227783","4.005693054199218","3.9802119731903076","4.02951717376709"
"83","3.8678229331970213","3.841893196105957","3.8947744369506836","3.6820119857788085","3.653891086578369","3.7115225791931152","3.728253984451294","3.701773166656494","3.7547073364257812","3.7871162414550783","3.7613701820373535","3.812286615371704","3.9881467819213867","3.9626059532165527","4.012507438659668"
"84","3.846844434738159","3.820369243621826","3.87341046333313","3.6567700862884522","3.627411365509033","3.686475992202759","3.704118347167969","3.6766793727874756","3.7307019233703613","3.7646501541137694","3.7397050857543945","3.7884719371795654","3.9700347900390627","3.94441819190979","3.9948530197143555"
"85","3.8249193668365478","3.798673629760742","3.851163625717163","3.630474901199341","3.6005070209503174","3.660423994064331","3.679481935501099","3.651534080505371","3.7064807415008545","3.7412694454193116","3.7160987854003906","3.7647128105163574","3.951335382461548","3.925607919692993","3.976518392562866"
"86","3.802427339553833","3.775991678237915","3.8280069828033447","3.603937101364136","3.5730819702148438","3.6347696781158447","3.6537364959716796","3.625113010406494","3.6802444458007812","3.7174622058868407","3.6921181678771973","3.740884304046631","3.9320359230041504","3.9061527252197266","3.9574906826019287"
"87","3.7795998573303224","3.752211809158325","3.803927183151245","3.5760810375213623","3.5440168380737305","3.6067419052124023","3.62732048034668","3.5977022647857666","3.6540281772613525","3.692998695373535","3.6679627895355225","3.7151129245758057","3.9121241569519043","3.886042833328247","3.937753677368164"
"88","3.7559338092803953","3.7290151119232178","3.7789273262023926","3.5475576400756834","3.5147809982299805","3.578695058822632","3.6002920150756834","3.5699594020843506","3.6268820762634277","3.667517614364624","3.642009973526001","3.689150810241699","3.8915865898132322","3.8652725219726562","3.9172909259796143"
"89","3.7316574573516847","3.7048606872558594","3.7530288696289062","3.518490219116211","3.484712600708008","3.5498809814453125","3.572301959991455","3.5410850048065186","3.598256826400757","3.6417815685272217","3.616427421569824","3.6626768112182617","3.8704147815704344","3.843839645385742","3.896094560623169"
"90","3.7068661212921143","3.67940616607666","3.726273536682129","3.4884599685668944","3.4536972045898438","3.519308567047119","3.543674278259277","3.5113883018493652","3.5695414543151855","3.614993524551392","3.589365005493164","3.6346890926361084","3.8485991954803467","3.8217225074768066","3.874150037765503"
"91","3.6812447547912597","3.654273271560669","3.7011547088623047","3.458226203918457","3.4231579303741455","3.4887192249298096","3.514547109603882","3.4813249111175537","3.5396783351898193","3.587639904022217","3.5617854595184326","3.608325958251953","3.8261368751525877","3.798905611038208","3.8514468669891357"
"92","3.6551071643829345","3.6280019283294678","3.6767923831939697","3.427576684951782","3.392240285873413","3.45691180229187","3.4846178531646728","3.4507412910461426","3.5087156295776367","3.5597272872924806","3.533778190612793","3.581444025039673","3.803029775619507","3.7753756046295166","3.8279714584350586"
"93","3.6283451557159423","3.6008150577545166","3.6519052982330322","3.395773506164551","3.359846353530884","3.4239065647125244","3.4540749549865724","3.4199728965759277","3.477609395980835","3.530942106246948","3.5044727325439453","3.5544583797454834","3.7792704105377197","3.751131534576416","3.8037075996398926"
"94","3.6007988929748533","3.573617935180664","3.625913143157959","3.363695812225342","3.3265132904052734","3.39052152633667","3.4230531215667725","3.3887016773223877","3.4482853412628174","3.5018640518188477","3.4750254154205322","3.5267601013183594","3.7548195362091064","3.726158618927002","3.7786366939544678"
